ED_COUNTER,ED_AF3, ED_F7, ED_F3, ED_FC5, ED_T7,ED_P7, ED_O1, ED_O2, ED_P8, ED_T8, ED_FC6, ED_F4,ED_F8, ED_AF4,mix1,mix2
-4.547,"4,493.8460","4,184.1025","4,304.1025","4,197.4358","4,545.1281","4,129.7435","4,114.3589","4,315.3845","4,665.6409","4,288.2050","4,603.5896","4,432.8204","4,633.8460","4,382.5640",111.282,
-4.539,"4,494.3589","4,182.5640","4,308.7178","4,197.9486","4,554.3589","4,127.1794","4,115.8973","4,318.4614","4,667.6922","4,290.2563","4,600.5127","4,435.3845","4,624.1025","4,382.0512",112.308,
-4.531,"4,495.8973","4,177.9486","4,302.0512","4,195.8973","4,537.9486","4,147.6922","4,123.5896","4,326.6666","4,676.4101","4,294.3589","4,601.5383","4,432.3076","4,621.5383","4,376.9230",118.974,
-4.523,"4,492.3076","4,172.3076","4,297.9486","4,195.8973","4,525.6409","4,155.8973","4,128.2050","4,335.8973","4,684.6153","4,303.5896","4,602.0512","4,433.3332","4,621.0255","4,373.3332",118.974,
-4.516,"4,466.1537","4,154.8717","4,282.5640","4,202.0512","4,529.2307","4,113.8461","4,109.2307","4,324.1025","4,674.8717","4,287.1794","4,584.6153","4,413.3332","4,596.9230","4,353.3332",112.821,
-4.508,"4,457.4358","4,147.6922","4,281.5384","4,201.5384","4,542.5640","4,101.0255","4,100.5127","4,315.3845","4,677.4358","4,282.0512","4,579.4871","4,404.6153","4,590.7691","4,343.5896",113.846,
-4.500,"4,469.7435","4,152.8204","4,293.8460","4,197.9486","4,537.4358","4,134.8717","4,109.7435","4,318.4614","4,685.1281","4,296.4102","4,592.8204","4,421.0255","4,606.1537","4,354.8717",114.872,
-4.492,"4,466.6666","4,148.7178","4,287.6922","4,196.9230","4,515.3845","4,138.4614","4,110.2563","4,311.7948","4,665.6409","4,282.5640","4,590.7691","4,419.9999","4,596.9230","4,353.8460",112.821,
-4.484,"4,466.1537","4,151.7948","4,286.1537","4,196.9230","4,523.5896","4,125.6409","4,110.7691","4,319.4871","4,664.6153","4,274.8717","4,595.8973","4,419.9999","4,595.3845","4,354.8717",111.282,
-4.477,"4,460.5127","4,138.9743","4,287.1794","4,199.4871","4,530.2563","4,121.0255","4,108.2050","4,322.0512","4,674.3589","4,288.2050","4,591.2819","4,420.5127","4,599.9999","4,351.2819",109.231,
-4.469,"4,463.5896","4,132.3076","4,292.3076","4,199.4871","4,524.6153","4,127.1794","4,110.2563","4,316.4102","4,674.8717","4,307.6922","4,588.7178","4,423.5896","4,606.1537","4,352.3076",111.282,
-4.461,"4,473.8460","4,145.6409","4,297.4358","4,195.3845","4,524.6153","4,127.6922","4,109.7435","4,315.8973","4,673.3332","4,311.2819","4,602.0512","4,428.7178","4,607.1794","4,359.4871",114.359,
-4.453,"4,457.4358","4,134.8717","4,282.5640","4,194.3589","4,513.8460","4,111.7948","4,098.4614","4,306.6666","4,667.6922","4,288.2050","4,589.7435","4,416.4101","4,583.0768","4,345.6409",111.795,
-4.445,"4,443.5896","4,124.6153","4,277.9486","4,198.4614","4,520.5127","4,112.3076","4,103.0768","4,312.3076","4,671.7948","4,283.5896","4,574.8717","4,413.3332","4,578.4614","4,335.8973",107.692,
-4.438,"4,445.1281","4,125.6409","4,284.1025","4,202.0512","4,534.3589","4,127.6922","4,105.6409","4,319.9999","4,671.2819","4,288.2050","4,579.9999","4,414.8717","4,587.1794","4,337.9486",107.180,
